,content,score,Year,Month,Day,sentiment
6548,"Permisi, mohon maaf mengganggu. Saya ingin mengajukan keluhan terkait perpanjangan SIM yang tidak bisa dilakukan melalui Aplikasi Digital Korlantas dikarenakan kegagalan dalam memverifikasi e-KTP berulang kali. Mohon tolong untuk direspon. Terima kasih. 🙏🏻",1,2022,6,3,-1
1928,"Tidak bisa verifikasi wajah, sudah dicoba berulang kali. Disuruh kedip sudah kedip tapi perintahnya ga berubah. Padahal sudah lepas kacamata dan di tempat terang loh :(",2,2022,6,3,-1
953,"Secara umum aplikasi ini memudahkan masyarakat, cuma sayang nya untuk verifikasi e ktp nya sangat susah harus puluhan kali mengulang padahal kondisi pencahayaan sudah baik, dan akhir nya saya putus kan untuk perpanjangan SIM dengan cara offline saja, untuk saat ini saya berikan 3 bintang dulu deh.",3,2022,6,3,0
9676,"Saya mau bikin sim c. Pas saya ketik di aplikasinya, kok gak bisa malah muncul sedang pengembangan.",1,2022,6,3,0
3845,"Saya ganti ke bintang 5 karena sudah bisa digunakan, dan ternya emang kesalahan saya, jadi pertanyaan saya berapa lama perpanjangan SIM selesai, dan kenapa untuk alamat pengiriman kecamatan Sukolilo tidak ada? Atau saya masih salah lagi! Mohon bantuannya ya 😊😊",5,2022,6,3,0
896,"Untuk developer, aplikasi masih nge bug dibagian ubah foto profil!!... tolong untuk segera diatasi. Sama masih banyak akses yg belum berlaku, tolong segera diperbaiki ya min.. saya malas antri klo perpanjangan secara offlne",2,2022,6,3,-1
6936,Sangat membantu sekali semua bisa dikerjakan dari rumah cuma agak lama nunggu prosesnya sampe hampir 20 hari baru jadi simnya,4,2022,6,3,1
4272,"Saya mau buat SIM C baru Sudah saya isi data di aplikasi. Setelah selesai, saya klik SIM baru malah BELUM ADA LAYANAN. Lah terus ini aplikasi buat apa bisa di gunakan/tidak??",1,2022,6,3,0
1924,Terimakasih atas aplikasinya. Sangat memudah kan kami dalam memperpanjang sim. Apalagi yang merantau jauh. Cukup bangun subuh biar server nya tidak sibuk. Jam 10 pagi jadi sim nya tinggal ambil. #perlu di chek lagi sim baru nya ga bisa di daftarin di app ini,5,2022,6,3,1
8235,"Data dukcapil nya utk data ektp nya di update lg ya pak, soalnya msh pakai data yg trdahulu, hasil cetakan yg ada ftonya tdak ada hologramnya ktika sim nya sdah dkirim ...trims",5,2022,6,4,0
3342,Di menu akhir ada keterangan pilih pengiriman melalui pos dan selalu gagal keterangan not found. Lokasi saya di kab bandung barat itu kenapa ya,4,2022,6,4,0
3787,"Saya pikir pengambilan SIM semudah ambil paket di ekpedisi sicepat, dan ternyata harus antri lagi, nunggu di panggil, percuma dong perpanjangan lewat online, dan pelayanan polresta bogor kota sangat buruk",1,2022,6,4,0
2972,Saya kasih bintang 5 walau banyak yg masih tahap pengembangan. Sejauh ini prosesnya lumayan cepat dan tidak berteleh2 untuk mempanjang sim lewat aplikasi. Semoga kedepannya jauh lebih baik,5,2022,6,4,1
3739,Udah download udah ngikutin aturan kenapa jawaban nya layanan belum tersedia... Sangat kecewa banget saya... Dah buang kuota dah buang waktu.. congratulations lah buat yg pencipta app digital ini... Bersenang senang dpt hasil dari merugikan orang banyak tx,1,2022,6,4,-1
4864,"Mantap aplikasi yang sangat membantu,proses 3hari sim sudah sampai, untuk lebih ditingkatkan lagi pilihan pembayaran diperbanyak, terimakasih",5,2022,6,4,1
3924,"Terimakasih, sim nya sudah sampe. Aplikasinya sangat membantu. Namun agak sedikit susah waktu verifikasi KTP. Smoga lebih ditingkatkan lagi pelayanannya.",4,2022,6,4,1
2756,"Bagaimana mau perpanjang sim kalau mau masukin data sim lama aja gagal berkali kali. Padahal nomor sim sudah betul dan nyoba ""Pindai"" tidak berhasil sama sekali",1,2022,6,4,-1
7009,"Tingkatkan lagi kecepatan pelayanan. Kalo tes kesehatan hanya berupa tes buta warna, bisa langsung dari aplikasi saja drpd mengantri di klinik.",3,2022,6,4,0
8156,"Prosesnya sangat mudah apabila ikutin aturan dan cepat sekali dapat konfirmasi, sangat membantu sekali. Terimakasih",5,2022,6,4,1
8760,"Tolong untuk verifikasi e ktp di rubah saja metodenya karena sangat sulit sekali, udah banyak mencoba tpi gagal terus,",1,2022,6,4,-1
5678,"RRIIBBEEETT, Dilempar ke aplikasi2 yg bukan dr playstore jd pengaturan aplikasinya GA JELAS, kekeh minta kamera chrome diizinkan pdhl dipilihannya cuma ada ""blokir"" dan ""tanyakan dulu"" Trus aku harus gmn kalo pilihan yg dimaunya emg ga ada di setelan chrome? NEGARA tu selalu ya giliran bikin aplikasi utk menunjang masyarakat selalu ga optimal 👎",1,2022,6,4,-1
6084,Assalamualaikum pak ibu IT digital Korlantas hanya kasih masukan tolong bikin sim baru cepet di adakan dan di permudah lagi soalnya jaman sekarang kendaraan bermotor sudah jadi kebutuhan pokok,5,2022,6,4,0
7337,"Pilih kirim lewat pos nggak bisa di klik malah keliru klik ambil sendiri baru bisa diklik lanjut, haduh gimana ini mau dibatalkan nggak bisa... Tolong",1,2022,6,5,-1
8475,"Lah gak bisa buat SIM baru melalui aplikasi ini... Keterangan ny ""Dalam Pengembangan"" Begitu klik pembuatan SIM baru",3,2022,6,5,-1
605,"Selalu gagal ketika memilih jenis pengiriman, sudah restart hp, diulang2 lagi tetap tidak bisa. Digitalisasi sangat penting tetapi kalau aplikasi dan sistem masih harus diperbaiki supaya penggunaannya optimal dan bena2 mempermudah layanan masyarakat.",1,2022,6,5,-1
2948,Lebih memudahkan dan saran untuk daerah jatim lebih diperluas lgi untuk pengambilan di korlantasnya krna di daerah saya tdk terjangkau. Untuk keseluruhan sangat memuaskan,5,2022,6,5,0
4121,"Tolong ini apk pas mau verifikasi wajah proses nya susah lama,tolong lah perbaiki segera, biar bisa membantu masyarakat, mending proses online kek waktu dulu WEB, sekarang udah diikuti tapi tetep susahh, segara la perbaiki:) terimakasih",1,2022,6,5,-1
231,"Mohon di perbaiki min, aplikasinya masih suka trpuble. Dan profil tidak bisa di edit, padahal sangat penting untuk mengubah data yg salah, kebetulan data saya dan nomor hp saya salah jadi tidak bisa di ubah.. mohon petunjuk min supaya bisa mengubah data profil yang salah",3,2022,6,5,-1
8355,Proses lumayan cepat.Semoga kualitas fotonya diperbaiki agar sesuai dengan bentuk wajah d foto.,5,2022,6,5,1
8767,Authorization token has expired ini maksudnya apa ya min buat perpanjangan sim kok selalu muncul seperti ini ?? Mohon di jawab,3,2022,6,6,0
1131,"Sudah cukup baik aplikasinya, hanya saja ada sedikit kesulitan ketika ingin memilih metode pengiriman menggunakan pos, metode pengirimannya masih banyak yang not found, harus mencoba 1 per 1 kecamatan terdekat yang ada metode pengiriman posnya.",4,2022,6,6,1
4406,Ini gimana ya...perpanjang online kok masih suruh antri di polres... Dengan alasan polres klaten belum bisa.. Ya kalau belum bisa menyeluruh ya mbok aplikasine di hapus wae dari playstore.... Malah menyusahkan....,1,2022,6,6,-1
6101,"1. Waktu regriatrasi bagian verifikasi ktp terlalu lama prosesnya 2. Stuck di pemrosean 50% yang terlalu lama, customer butuh kejelasan atas proses pengajuan yg kita ajukan 3. Fitur pengaduan masih blm ada, apabila ada keluhan harus cari ig korlantas Sebenarnya apk ini sangat membantu, tapi alangkah baiknya perlu adanya evaluasi dan perbaikan secara berkala 🙏 4. Point plusnya dari proses perpindahan 50% ke 60% dan 80% cepat bngt perpindahan dalam waktu 1 hari dan pengiriman jg cpt",3,2022,6,6,-1
7392,Makin mudah untuk perpanjangan SIM. Utamanya jangan salah entri data misal no hp atau alamat email. Selebihnya tinggal duduk manis di rumah menunggu SIM datang. Top bagus nya,5,2022,6,6,1
3094,"Keren, sangat membantu sekali u perpanjang SIM. Terbukti cepet untuk transaksi perpanjangan SIM. Seminggu proses langsung jadi dan kirim perpanjangan SIM A dan C saya. Harus mengikuti proses yg ada dg teliti dan seksama. Terima kasih",5,2022,6,6,1
8151,"Mf bintang 1,awalnya sih oke smua pokonya tpi kenapa pas masukin nomor rekening pengembalian loading terus,diulang ulang tetep loading,padahal nomor rekening masih aktif dan punya sendiri, Mksh",1,2022,6,6,-1
5580,"Alhamdulillah proses perpanjangan sim bisa online,terimakasih sudah dilayani dengan sangat baik. semoga kedepan bisa lebih baik dan lengkap menu pelayanannya.",5,2022,6,6,1
848,"Kenapa ya fitur didalam aplikasinya belum pada diupdate,, hanya benerapa fitur saja yg bisa digunakan?? ""Saran coba fitur pembuatan sim baru itu di-update hanya dapat digunakan ketika orang tersebut membuat sim baru Dengan catatan sim yg sudah habis masa berlakunya""",1,2022,6,6,0
4917,Alhamdulillah. Perpanjangan Sim C saya sudah jadi. Membutuhkan waktu 2 minggu.. trims korlantas polri. Semoga sistem digital kedepannya bisa lebih baik dan efisien,5,2022,6,6,1
9319,macet di rekening pengembalian..terus menerus loading tiada henti..sudah sampai uninstalled and installed ulang masih tetep sama..proses tes kesehatan dan psikotes dan tes lainnya sudah dilakukan.kenapa ya?,2,2022,6,6,-1
7570,"Ijin Bertanya Untuk Proses Perpanjangan SIM Jadi brp Hari Yah, Soalnya SIM saya Berlaku Hanya 1 Minggu Lg, Sdgkan Saya Sdh Daftar Online dan Msh Proses 40%. Yg dikhawatirkan kan masa berlaku SIM hbs. Dan SIM yg Baru Belum Jdi/ Blm diproses. Makasih,",4,2022,6,7,0
2788,Aplikasi nyusahin... Bukannya mempermudah malah mempersulit. Proses loading di cek rekening dr kmrb smpi skrg blm selesai dan skrg giliran dibuka malah tdk bs log in. Hapus aj nih aplikasi tdk berguna,1,2022,6,7,-1
9713,"Kenapa gk bisa buat sim baru di aplikasi,,udah lama nunggu tapi masih muncul keterangan """"layanan belum tersedia"""" itu maksud nya apa.??",1,2022,6,7,-1
3915,"Trima kasih..meskipun kadang aplikasi trouble di siang hari...ternyata proses sngat cepat dan mudah , semoga ada perbaikan sehingga aplikasi lebih mudah digunakan..",5,2022,6,7,1
4906,Saya sudah foto untuk verifikasi ktp dengan pencahayaan yang baik dan kamera yang memadai tapi kok tidak bisa ya. Mohon untuk diperbaiki agar pengguna lebih mudah menggunakan aplikasi ini. Terimakasih,3,2022,6,7,0
9846,"Mudah, cepat, untuk kedepannya bisa ditingkatkan lagi fiturnya,thx",5,2022,6,7,1
4853,Sangat membatu untuk menghidari pungli......di tunggu update terbarunya untuk pembuatan sim baru secara online dan praktek nya baru ke polres terdekat terimakasih,4,2022,6,7,1
1482,"Semua proses sudah saya lalui untuk perpanjangan SIM A.. padahal tinggal pembayaran.. malah tidak bisa dan customer service mengarahkan ke offline.. padahal sudah tes kesehatan dan psikologi, terus gunanya aplikasi apa? Tolonglah kalau belum fix jangan di launching,, tolong diperbaiki, terimakasih.",1,2022,6,7,-1
8525,"Kesulitan pada verifikasi foto KTP hampir coba setiap hari gagal, bnyk menu fitur yg belum tersedia layanannya",4,2022,6,7,-1
3261,"Aplikasinya tidak merespon. Saya menggunakan provider internet terbaik, sinyal terkuat, jaringan paling stabil, tapi kenapa aplikasi ini tidak merespon. Mohon diperbaiki",1,2022,6,7,-1
9857,Bagai mana cara mengganti foto untuk perpanjangan sim yang salah uplod foto. Namun sudah di peroses pengajuan perpanjangan sim nya?,5,2022,6,7,0
4749,"Tidak bisa mngechek sim yang hilang,padahal mau ngurus sim tapi gal punya data atau nomor sim yang hilang,percuma jika di aplikasi ada foldernya tapi layananya tidak tersedia",2,2022,6,7,-1
229,"Mantap sekali sudah bisa urus perpanjangan SIM secara daring. Sayangnya penggunaan di aplikasi kurang praktis terutama di bagian unggah berkas. Bakalan lebih baik kalau berkas bisa disimpan di akun supaya ga bolak-balik unggah berkas karena aplikasinya force close. Dan kekurangannya juga tes kesehatan ga bisa daring dan harus jauh2 ke RS polri di masa pandemi begini. Selain itu sangat disayangkan pengiriman SIM A dan C dipisah padahal pengurusannya bersamaan, biaya jd dobel2. Lainnya sudah oke.",4,2022,6,7,1
8570,Cukup memudahkan bisa memperpanjang sim tanpa perlu antri dan menunggu. Semoga fitur2 lainya segera bisa di jalankan. Good job,4,2022,6,7,1
6099,"inovasi sudah bagus, hanya saja jika memang app belum siap sebaiknya jangan dulu dipublikasikan. banyak fitur yang disediakan tp belum bisa digunakan.",3,2022,6,7,1
1088,"Sangat membantu dan bermanfaat tidak perlu datang ke lokasi pembuatan cukup dirumah aja , cm tes psikotesnya banyak banget , kedepannya semoga di tingkatan lagi , bikin 2 SIM A dan C , tp yg SIM A foto mukanya lebar ,ngeditnya di tarik ke kanan kiri jd beda sama yg SIM C yg profesional ngeditnya",5,2022,6,7,1
5632,"Saya sangat terbantu dengan aplikasi ini, karena domisili saya saat ini tidak di wilayah polda metro jaya jdi harus perpanjangnya online dan terselamatkan. Untuk SIM C sudah sampai, tinggal menunggu SIM A.",5,2022,6,7,1
3027,"Aplikasi yang membantu tapi masih banyak kekurangan, salah satunya susah buat pikil jasa pengiriaman sudah di coba selalu gagal. Mohon di permudah lagi prosesnya Terimakasih",1,2022,6,7,0
9494,"Min boleh minta tolong ini saya perpanjang sim, ga ngerti dimana salah nya semua data sudh sesuai dgn syarat yg ada tapi proses perpanjang gagal akibat nya saya jd kelewat waktu nya untuk perpanjang sim kalau kaya gini gmn solusi terbaik nya min??",1,2022,6,7,0
7295,Mulai hari minggu tgl 050622 sampai sekarang 070622 saya coba berkali kali masih belum bisa melanjutkan lagi ke langkah pemilihan Satpas. Tampilan dilayar hp hanya berwarnah putih. Padahal saya menggunakan jaringan WiFi berlangganan telkom unlimited. Tolong saran dan masukannnya?,5,2022,6,7,0
1113,"Awalnya, ga bisa verif ektp, lalu coba selang beberapa hari, ehh bisa, perpanjang sim, eeh diauruh tes kesehatan di aplikasi lain, abis itu tes psikologi di aplikasi lain lagi, pas upload dokumen pertama, ditolak, ilang deh biaya admin. Besar harapan saya semoga kedepannya dipermudah, dan dilengkapi all fiturnya",5,2022,6,7,0
4722,"Keren... Kira2 kapan layanan pembuatan sim baru ready? Saya coba tapi keterangan nya ""layanan belum tersedia/masih dalam pengembangan"".",3,2022,6,7,1
1864,Dari banyaknya fitur yg tersedia hanya perpanjangan SIM aja yg bisa dibuka.. semua masih dalam proses pengembangan.sampai kapan begitu Min?Semoga bulan ini kelar semua ya min.baik yg sudah tersedia maupun yg akan tersedia.terima kasih,1,2022,6,8,0
6481,Assalamualaikum selamat pagi Apk nya sangat membantu. Cuma kalau buat perpanjangan SIM B1 gak ada daftar di menu permohonan. Kirain saya bisa buat perpanjangan SIM B1.,3,2022,6,8,0
5600,"Saat pengiriman lewat pos jenis pengiriman tidak k bentuk dan d ketik, saat d ketik muncul ket _ not fon gagal... padahal isi data sdh benar!",1,2022,6,8,0
4642,"SIM saya sudah 7hari belum diproses, pembayaran sudah lunas, syarat sudah lengkap. Layanan pengaduan tidak bisa di pakai. Mohon pencerahannya admin. Terimakasih",5,2022,6,8,-1
1595,"UI bagus, UX jiga sdh lumayan walaupun saya msih nemu 1-2 bug, mmg tdk mudah ngembangkan aplikasi di pemerintahan atau polri, perlu dedikasi baik anggaran ataupun perhatiannya, dan jgn dpndang sbelah mata kalau ini mmg digital, krn kedepannya berguna, trutama utk Gen Z, 2-3 tahun udah lumayan kok UX bakalan naik dan tinggal nambahkan fitur² yg masih blm tersedia. Diupayakan Kalo bisa kurirnya dtambah tdk hanya POS, dan pembayaran tdk hnya BNI saja.",5,2022,6,8,1
1008,"Tolong dong di tingkatkan lagi kualitasnya. Saya mau perpanjangan sim, stlh ngisi registrasi tidak bs ke tahap selanjutnya ( ""coba lagi""). Sebenernya aplikasi ini ngebantu banget dari pada lsg ngurus ke lokasi dan antri tp kalau eror gini sm aja..",2,2022,6,8,0
3673,"Sangat buruk prosesnya, sedangkan sudah bayar semua dari tes kesehatan dan tes psikologi, dan coba konfirmasi ke satlantasnya langsung dan diterima untuk print outnya tapi untuk di tes dokternya gak menerima print out lewat e-rikkes dan akhirnya tes lagi bayar lagi akhirnya bayar 2x semua dari proses pembayarannya, mohon dipermudahkan kalopun e-rikkes gk berlaku di tes dokter harusnya jangan di ikut sertakan di aplikasi digital korlantas, dan mohon untuk pengembalian dana saya yang sudah dibayar",1,2022,6,8,-1
2834,"Kenapa saya mau buat sim baru pas saya klik sim baru ada tulisan ""layanan belum tersedia, layanan yang Anda pilih sedang dalam pengembangan"" Gitu terus, Mohon dibalas",1,2022,6,8,0
6726,"Sangat bermanfaat, dan efektif. Walaupun harus download aplikasi lain sebagai penunjangnya. Rekomendasi untuk di download...",5,2022,6,8,1
4389,"Maaf nih pak/bu saya perpanjang sim sudah bayar biaya ujian biaya pembuatan tim,tapi kok tidak ada kelanjutan? Sampai sim saya sudah mati saya grab akun saya dimatikan krna tidak ada perpanjangan sim",3,2022,6,8,-1
130,"Kena dua kali pembatalan, terkait ketidaksesuaian background foto, sudah dilakukan pembaruan dengan spesifikasi yg diminta tetapi pada dashboard tetap muncul aim dengan foto yg belum pembaruan. Mohon informasi dan contoh untuk background baik untuk tanda tangan maupun foto personil. Terimakasih",1,2022,6,8,0
9351,"Lumayan bagus sangat membantu untuk perpanjangan SIM ,lebih di tingkatkan lagi fasilitas layanan yg lainnya.terimaksih",5,2022,6,8,1
6097,Untuk stnk kalo bisa di buka juga ya layanan nya. Agar bayar pajak kendaraan tidak perlu mengantri dan lebih mudah. Trm ksh,2,2022,6,8,0
4863,"Alhamdulillah, dengan adanya aplikasi ini ga ribet buat perpanjang SIM. Terimakasih banyak ditlantas Polda. Semoga untuk pelayanan SIM baru bisa segera terealisasi.",5,2022,6,8,1
5071,"Kepada yaitu bapak kapolri beserta jajaran yang sedang bertugas, Mohon pencerahannya atas tindakan aplikasi yang tidak bisa digunakan untuk bikin sim baru smoga cepat bisa teratasi terimakasih",3,2022,6,9,0
7296,"Sangat membantu saya yang sudah pindah beda provinsi. Hanya saja proses Sim online ini agak lama, saya 2 bulan antri. Pengiriman cepat dan cetakannya bagus.",5,2022,6,9,1
3663,"Bagus , tapi banyak yang masih perlu di perbaiki , terutama pada eppsi tidak bisa sinkron dengan sinar . Melakukan pembayaran pada eppsi juga ada kendala , alhasil melakukan semuanya tetap offline .",5,2022,6,9,1
3642,"Alhamdulillah jdi juga SIM nya proses cepet, tpi syg masih harus di perbaiki sistem nya, knp sya perpanjang online dua SIM lgsg tpi yg jdi dluan malah satu, padahal di hari yg sama perpanjang online nya, jdi harus nunggu lagi.",4,2022,6,9,0
3892,"Aplikasi sudah bagus, tapi kenapa setiap upload pas foto selalu di tolak padahal saya foto langsung dari aplikasi KORLANTAS dan background berwarna biru",4,2022,6,9,1
5594,"Overall keren, mungkin dari segi UX dan UInya di enhance. Terimakasih korlantas polri.",5,2022,6,9,1
8469,"Sudah di daftar dan sudah masuk ke Rekening pengembalian tidak bisa, berputar terus sudah dimasuk rekening sesuai tetap tidak bisa",1,2022,6,9,0
4244,"saat awal aktifasi perpanjangan sim selalu keterangan "" terjadi kesalan "", padahal semua persyaratan sudah sesuai. mohon bimbingan.",4,2022,6,9,1
8219,"Saya sudah berhasil perpanjangan sim C, semua persyaratan bisa dipenuhi dari rumah kecuali tes kesehatan selain online harus datang juga ke tempat tes kesehatan dan bayar dengan uang cash. Dan untuk input data alamat hanya bisa isi nama jln jalan nomer rumah sj. Rt/Rw tidak bisa diisi hasilnya di sim fisik alamat tidak lengkap nomer RT/RW kosong",4,2022,6,9,1
6016,Aplikasi ini lebih baik dibanding aplikasi perpanjang sim yg lainnya. juga lebih mudah dimengerti. semoga kedepannya ada pembuatan sim baru secara online,5,2022,6,9,1
8196,"ngga bisa digunakan, pendaftaran SIM ngga bisa, layanan hubungi CS juga ngga ada, masih banyak yang harus diperbaiki",1,2022,6,9,-1
2953,"Bravooo Polri... Ternyata bikin SIM online ya mudah juga dan gak pake ribet yang saya bayangkan... Sukses terus buat aplikasi ya, semoga makin mempermudah warga yang mau urus SIM tanpa ribet",5,2022,6,9,1
5094,Diiklam bisa bikin sim baru pas udah login dan bla bla pas klik sim baru belum bisa digunakan .??? Tolong di perbaiki lagi sistem aplikasinya terimakasih,5,2022,6,9,-1
4275,"ga guna, mau perpanjang/bikin baru/naik tingkat tidak bisa. masukan data sim juga tidak bisa, buat apa ada aplikasi seperti ini",1,2022,6,9,-1
3432,"Padahal butuhnya cuman buat lihat nomer SIM sama perpanjangan tpi untuk verifikasi KTP saja susahnya minta ampun gagal, yg disuruh ngangguk lah, kedip lah, buka mulut lah & menurut saya itu terlalu ribet kenapa ngga foto sama KTP aja biar simple?",1,2022,6,9,-1
1624,"Mudah bgt sekarang urus perpanjangan SIM, bisa dari rumah..terimakasih, fyi kalo sim online cuma butuh (data diri), (tes kesehatan) yang gampang bgt diakses dari aplikasi ini, terus (psikotes), dan ada (tes angka2) misalnya ada angka 67890 dan kita harus cari angka yang hilang mislnya di sebelah 8906 berarti yang hilang 7 atau jawaban benarnya 7, ini info aja supaya kalian gak kaget kayak saya saat psikotes,, enjoyy!!",5,2022,6,9,1
1469,"terimakasih, aplikasinya sangat membantu dalam perpanjangan SIM.. karna udah mulai banyak yg pakai jadi proses dari awal daftar aplikasi sampai SIM nyampe ke rumah (via pos)total 8 hari... pelayanan baik, komplain via chat WA dan email cepat di respon juga.. pokonya ajib deh👍👍👍",5,2022,6,9,1
9437,Aplikasi yang sangat membantu dalam kepengurusan perpanjangan SIM secara online. Mantap. Terimakasih.,5,2022,6,9,1
8666,"aplikasinya keluar sendiri, pas digunakan untuk upload foto tiba2 keluar, jadi cape upload2 terus",1,2022,6,10,-1
9282,Sering tdk dapat terverifikasi soal e-ktp. Sangat menyulitkan sdh dicoba 10 kali tetap saja.,1,2022,6,10,-1
6835,Mantap dan kerenn pokonya rekomendasi bangt buat yg ga ada waktu untuk ngurus sim ke polres .cukup dirumah atau sambil kerja bisa di kerjain ini hehe,5,2022,6,10,1
5792,"Saya belum punya sim, setelah saya coba untuk instal aplikasi ini, ada layanan sim baru, tapi tidak bisa dibuka. Perlu perbaikan lagi.",1,2022,6,10,0
8165,"SIM online membantu sekali, jadi dari rumah bisa ikut test nya dan SIM nya di antar ke rumah.... The best Digital Korlantas",5,2022,6,10,1
7179,Sangat membantu sekali tidak perlu jalan kemana mana sim di kirim ke rumah Mohon di perbaiki prosesnya jangan lama lama agar tidak was was jika permohonan di tolak atau tidak . Dan segera update biar semua layanan bisa di pakai,5,2022,6,10,1
5318,"Klo fitur nya sudah lengkap.. lebih efektip lagi.. semoga disegerakan fitur lain ny, yg sudah tertera di app.",5,2022,6,10,0
3077,"Sangat fleksible, membantu dan mempermudah pelayanan SIM baik dari segi waktu , jarak dan lain sebagainya.",5,2022,6,10,1
